dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
01M015,P.S. 015 Roberto Clemente,Elementary,1.0,0.75,0.97,0.94,0.05,0.23,0.006,0.889,0.398,0.77,0.124,0.28,0.553,0.037,0.928
01M019,P.S. 019 Asher Levy,Elementary,1.0,0.75,0.98,0.91,0.033,0.427,0.113,0.687,0.155,0.548,0.059,0.218,0.623,0.067,0.909
01M020,P.S. 020 Anna Silver,Elementary,0.75,0.75,0.95,0.86,0.144,0.264,0.093,0.772,0.164,0.647,0.289,0.13,0.506,0.036,0.925
01M034,P.S. 034 Franklin D. Roosevelt,K-8,0.75,0.5,0.94,0.76,0.076,0.392,0.028,0.949,0.295,0.875,0.028,0.33,0.601,0.028,0.885
01M063,The STAR Academy - P.S.63,Elementary,1.0,0.75,0.96,0.92,0.019,0.362,0.019,0.76,0.261,0.623,0.019,0.213,0.652,0.082,0.908
01M064,P.S. 064 Robert Simon,Elementary,1.0,1.0,0.97,0.95,0.029,0.304,0.025,0.9,0.24,0.784,0.034,0.176,0.711,0.059,0.89
01M110,P.S. 110 Florence Nightingale,Elementary,0.75,0.75,0.94,0.86,0.024,0.127,0.012,0.591,0.154,0.423,0.151,0.107,0.447,0.26,0.941
01M134,P.S. 134 Henrietta Szold,Elementary,0.75,0.5,0.91,0.77,0.09,0.449,0.146,0.915,0.221,0.869,0.097,0.255,0.607,0.03,0.893
01M140,P.S. 140 Nathan Straus,K-8,0.75,0.75,0.93,0.89,0.115,0.381,0.164,0.897,0.257,0.812,0.046,0.137,0.791,0.027,0.886
01M142,P.S. 142 Amalia Castro,Elementary,1.0,0.75,0.96,0.84,0.086,0.404,0.119,0.906,0.354,0.801,0.023,0.152,0.795,0.01,0.909
01M184,P.S. 184m Shuang Wen,K-8,0.75,0.75,0.92,0.8,0.154,0.167,0.016,0.676,0.131,0.519,0.701,0.042,0.129,0.072,0.976
01M188,P.S. 188 The Island School,K-8,1.0,1.0,0.97,0.98,0.077,0.373,0.107,0.968,0.458,0.903,0.015,0.327,0.621,0.031,0.878
01M315,The East Village Community School,Elementary,1.0,0.75,0.99,0.88,0.017,0.172,0.007,0.365,0.037,0.232,0.088,0.047,0.226,0.586,0.947
01M332,University Neighborhood Middle School,Middle,0.75,0.75,0.89,0.91,0.033,0.45,0.115,0.812,0.191,0.727,0.086,0.191,0.627,0.086,0.915
01M361,The Children's Workshop School,Elementary,1.0,1.0,0.97,0.96,0.039,0.271,0.007,0.532,0.106,0.387,0.095,0.102,0.405,0.352,0.917
01M363,Neighborhood School,Elementary,1.0,0.75,0.96,0.9,0.015,0.256,0.004,0.459,0.074,0.326,0.067,0.093,0.374,0.419,0.935
01M364,Earth School,Elementary,1.0,0.75,0.98,0.92,0.067,0.318,0.013,0.577,0.169,0.452,0.07,0.111,0.404,0.338,0.931
01M378,School for Global Leaders,Middle,1.0,1.0,0.95,0.94,0.1,0.388,0.096,0.848,0.232,0.748,0.128,0.236,0.564,0.04,0.891
01M450,East Side Community School,Middle,1.0,1.0,0.97,0.95,0.01,0.31,0.032,0.605,0.119,0.435,0.103,0.132,0.555,0.187,0.955
01M539,"New Explorations into Science, Technology and Math",K-8,0.75,0.5,0.92,0.82,0.023,0.054,0.002,0.194,0.01,0.101,0.367,0.04,0.076,0.414,0.964
01M839,Tompkins Square Middle School,Middle,1.0,0.75,0.94,0.89,0.019,0.276,0.003,0.669,0.124,0.541,0.215,0.124,0.412,0.21,0.95
02M001,P.S. 001 Alfred E. Smith,Elementary,1.0,1.0,0.96,0.92,0.211,0.316,0.041,0.842,0.086,0.771,0.504,0.177,0.289,0.019,0.946
02M002,P.S. 002 Meyer London,Elementary,1.0,1.0,0.96,0.94,0.33,0.242,0.052,0.908,0.248,0.823,0.769,0.082,0.14,0.009,0.965
02M003,P.S. 003 Charrette School,Elementary,1.0,1.0,0.97,0.97,0.047,0.219,0.003,0.202,0.009,0.143,0.092,0.055,0.164,0.631,0.934
02M006,P.S. 006 Lillie D. Blake,Elementary,1.0,0.75,0.97,0.87,0.037,0.184,0.005,0.079,0.005,0.039,0.165,0.026,0.061,0.731,0.958
02M011,P.S. 011 William T. Harris,Elementary,1.0,0.75,0.97,0.94,0.033,0.161,0.002,0.356,0.056,0.223,0.156,0.057,0.243,0.461,0.946
02M033,P.S. 033 Chelsea Prep,Elementary,1.0,0.75,0.96,0.88,0.063,0.172,0.038,0.495,0.192,0.429,0.23,0.182,0.295,0.199,0.93
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,1.0,1.0,0.98,0.95,0.027,0.174,0.006,0.113,0.01,0.076,0.126,0.016,0.141,0.62,0.958
02M041,P.S. 041 Greenwich Village,Elementary,1.0,1.0,0.99,0.94,0.017,0.178,0.003,0.086,0.003,0.055,0.073,0.016,0.097,0.685,0.958
02M042,P.S. 042 Benjamin Altman,Elementary,1.0,1.0,0.97,0.98,0.346,0.193,0.002,0.806,0.1,0.704,0.88,0.013,0.074,0.028,0.973
02M051,P.S. 051 Elias Howe,Elementary,1.0,0.75,0.97,0.89,0.085,0.259,0.037,0.658,0.254,0.561,0.117,0.154,0.502,0.193,0.917
02M059,P.S. 059 Beekman Hill International,Elementary,1.0,0.75,0.98,0.93,0.048,0.154,0.005,0.086,0.012,0.047,0.202,0.012,0.102,0.583,0.956
02M077,P.S. 77 Lower Lab School,Elementary,1.0,0.5,0.97,0.79,0,0.081,0,0.105,0,0.042,0.328,0,0.05,0.506,0.966
02M089,P.S. 89,Elementary,1.0,1.0,0.97,0.98,0.067,0.173,0,0.108,0.005,0.04,0.185,0.017,0.124,0.591,0.96
02M104,J.H.S. 104 Simon Baruch,Middle,0.5,0.75,0.87,0.86,0.048,0.162,0.022,0.417,0.062,0.323,0.348,0.075,0.177,0.35,0.963
02M111,P.S. 111 Adolph S. Ochs,Elementary,0.75,0.75,0.95,0.9,0.112,0.263,0.063,0.621,0.214,0.523,0.156,0.151,0.482,0.181,0.916
02M114,East Side Middle School,Middle,0.75,1.0,0.93,0.95,0,0.169,0.002,0.131,0.002,0.086,0.14,0.029,0.118,0.641,0.972
02M116,P.S. 116 Mary Lindley Murray,Elementary,1.0,1.0,0.97,0.97,0.056,0.187,0.007,0.378,0.138,0.271,0.216,0.1,0.209,0.418,0.946
02M124,P.S. 124 Yung Wing,Elementary,1.0,0.75,0.97,0.9,0.279,0.125,0.003,0.64,0.07,0.513,0.945,0,0.019,0.013,0.981
02M126,P.S. 126 Jacob August Riis,K-8,0.75,1.0,0.92,0.93,0.152,0.217,0.003,0.762,0.268,0.661,0.644,0.087,0.172,0.067,0.969
02M130,P.S. 130 Hernando De Soto,Elementary,1.0,1.0,0.96,0.97,0.166,0.169,0.023,0.564,0.03,0.429,0.88,0.009,0.049,0.029,0.981
02M131,M.S. 131,Middle,0.75,1.0,0.91,0.94,0.252,0.257,0.077,0.843,0.2,0.771,0.798,0.065,0.112,0.017,0.973
